txtDescricao;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
TELEFONIA;2016;11862129.3;209109.48;11573716.06;3302310
COMBUSTÍVEIS E LUBRIFICANTES.;2020;10971464.64;126136.69;10750926.29;2235016
PASSAGEM AÉREA - SIGEPA;2022;10712381.28;0.0;10712426.28;579992
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2009;10853938.86;193941.78;10659997.02;128843
MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2022;10682152.71;79312.26;10586069.31;475160
TELEFONIA;2017;10152931.7;205481.58;9910717.45;3017135
PASSAGEM AÉREA - REEMBOLSO;2010;9233263.58;127654.5;9105608.96;112678
COMBUSTÍVEIS E LUBRIFICANTES.;2022;9025989.66;219415.8;8793936.84;1467368
LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES;2009;8821225.6;119171.79000000001;8702053.77;859766
TELEFONIA;2018;8043321.11;217529.93;7807115.82;1695705
CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;2022;7717604.1;2500.0;7703519.3;51968
SERVIÇOS POSTAIS;2010;7094850.16;11094.64;7083755.52;3022855
PASSAGEM AÉREA - RPA;2022;5738097.11;0.0;5738097.11;270984
PASSAGEM AÉREA - REEMBOLSO;2011;5952996.63;238604.63999999998;5714391.97;160167
SERVIÇOS POSTAIS;2011;5602657.25;13260.79;5589398.36;2558411
SERVIÇOS POSTAIS;2014;5422035.5;450.91;5421584.54;1767528
LOCOMOÇÃO, ALIMENTAÇÃO E  HOSPEDAGEM;2009;5556841.22;150121.43;5406719.87;838301
SERVIÇOS POSTAIS;2013;5261402.65;5495.83;5254806.19;2132892
SERVIÇOS POSTAIS;2009;5225282.27;7599.85;5217682.42;1811699
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2014;5236669.69;29000.0;5175691.63;29916
PASSAGEM AÉREA - REEMBOLSO;2009;5203713.6;106882.22;5096831.38;67204
SERVIÇOS POSTAIS;2012;4982219.27;9673.900000000001;4967058.53;2161890
PASSAGEM AÉREA - REEMBOLSO;2012;5158405.56;213416.65;4934854.05;111942
TELEFONIA;2019;5288432.33;190909.89;4882802.45;1223235
TELEFONIA;2020;4573623.13;174118.74;4387810.86;1057784
SERVIÇOS POSTAIS;2015;4205140.23;324.6;4204616.73;1753587
TELEFONIA;2021;4407015.41;193402.26;4201599.06;1029392
PASSAGEM AÉREA - REEMBOLSO;2013;4078800.83;54970.54;3842684.92;106812
SERVIÇOS POSTAIS;2016;3838023.94;1276.8999999999999;3836335.85;1548580
SERVIÇOS POSTAIS;2017;3675355.26;2302.7799999999997;3672073.7;1426040
PASSAGEM AÉREA - REEMBOLSO;2019;3655382.76;6882.84;3645749.7;172614
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2016;3439546.71;17.0;3400546.46;18645
PASSAGEM AÉREA - SIGEPA;2019;3266672.3;0.0;3267700.86;194208
PASSAGEM AÉREA - REEMBOLSO;2015;2924915.63;17717.69;2906997.94;169649
LOCAÇÃO OU FRETAMENTO DE AERONAVES;2017;2884086.49;0.0;2836802.55;15785
