sgPartido;numAno;vlrDocumento;vlrGlosa;vlrLiquido;codLegislatura
PRB;2017;10013735.09;35421.49;9853334.84;621390
PSB;2014;9915017.144624;44259.659999999996;9846905.42;994518
PSB;2019;9767261.07;29145.0;9729745.26;771751
DEM;2013;9841266.878162;42764.29;9688150.94;930582
PSDB;2021;9743497.6;69392.29;9643738.92;562240
DEM;2012;9701080.87;113923.20999999999;9577438.21;974106
UNIÃO;2022;9596059.38;35233.27;9553588.4;469784
PSB;2013;9491437.731383;51674.33;9399593.47;1179090
PRB;2016;9555119.95;38844.82;9346743.42;646965
PDT;2018;9374998.4;41974.8;9320923.55;633985
PRB;2018;9352323.07;63163.909999999996;9279438.3;504680
PDT;2016;9297506.34;54508.59;9229493.33;809930
PDT;2015;9109850.04169;49596.98;9014581.09;836079
SDD;2014;8969450.241199;37142.73;8924739.7;709668
PSB;2012;8950939.61;97048.01;8851034.39;1128006
PSB;2011;8965672.77;133544.93;8832104.52;1300658
PODE;2017;8764510.19;48615.43;8662791.03;736505
PDT;2019;8713013.71;37670.97;8662393.45;572815
PP**;2009;8620469.52;164304.65;8591946.17;1048658
PRB;2015;8524583.54807;28369.2;8448837.55;642944
PTB;2016;8448325.98;24873.69;8406549.04;592020
PDT;2021;8348827.13;27786.31;8312764.98;402808
PSB;2021;8348790.7;37513.01;8303913.03;565376
PSD;2022;8333737.71;56514.31;8268664.06;461216
PTB;2015;8232740.101;37905.28;8160449.81;657849
PSB;2010;8142366.68;75707.64;8068959.96;872168
SDD;2013;7970652.758277;32725.12;7883854.42;716958
PODE;2016;7903693.84;30315.14;7863914.47;764170
REPUBLICANOS;2022;7801302.34;41919.21;7747695.01;391608
PODE;2018;7818742.02;90359.70999999999;7703301.3;542575
PTB;2010;7818317.26;133798.83;7687061.21;608016
PROS;2014;7737427.847363;34730.409999999996;7658603.99;519264
PTB;2018;7726951.91;72781.11;7646361.87;436205
PTB;2017;7584657.03;27509.559999999998;7542255.19;499840
SDD;2012;7657729.09;129120.8;7518684.7;704214
PSDB;2020;7489187.09;21148.98;7453215.46;414120
PTB;2014;7592255.0683;47212.3;7401603.78;560412
PDT;2010;7309167.48;178677.42;7133811.64;736859
PTB;2011;7239542.49;150738.85;7089383.86;647851
