txNomeParlamentar;sgPartido;codLegislatura;numAno;vlrDocumento;vlrGlosa;vlrLiquido;nomeEsgPartido
Elmar Nascimento;DEM;55;2019;37252.4;295.95;36956.450000000004;Elmar Nascimento (DEM)
Magda Mofatto;PR;54;2015;37122.16;169.48000000000002;36952.68;Magda Mofatto (PR)
CORONEL BITTENCOURT;PRB;55;2019;36924.67;0.0;36924.67;CORONEL BITTENCOURT (PRB)
CHICO LOPES;PCdoB;55;2019;36902.48;2.49;36899.99;CHICO LOPES (PCdoB)
Vicentinho Júnior;PR;55;2019;36997.65;104.93;36892.72;Vicentinho Júnior (PR)
NELSON MARQUEZELLI;PTB;55;2019;36856.27;0.0;36856.27;NELSON MARQUEZELLI (PTB)
Dulce Miranda;MDB;55;2019;36859.67;9.73;36849.94;Dulce Miranda (MDB)
AKIRA OTSUBO;PMDB;54;2015;37449.1122;0.0;36775.27;AKIRA OTSUBO (PMDB)
SABINO CASTELO BRANCO;PTB;54;2015;36748.1943;0.0;36748.19;SABINO CASTELO BRANCO (PTB)
ENIO BACCI;PDT;54;2015;36728.2;0.0;36728.2;ENIO BACCI (PDT)
ALEXANDRE TOLEDO;PSB;54;2015;36712.5947;13.5;36699.09;ALEXANDRE TOLEDO (PSB)
ALMEIDA LIMA;PMDB;54;2015;37155.17;499.96;36655.21;ALMEIDA LIMA (PMDB)
OSVALDO COELHO;DEM;54;2015;37753.86;0.0;36654.17;OSVALDO COELHO (DEM)
Geraldo Resende;PMDB;53;2011;36884.48;352.54;36531.94;Geraldo Resende (PMDB)
Adriana Ventura;NOVO;56;2021;36625.94;101.78;36524.16;Adriana Ventura (NOVO)
RENATO ANDRADE;PP;55;2019;36767.64;250.0;36517.64;RENATO ANDRADE (PP)
Hermes Parcianello;MDB;55;2019;36817.43;317.63;36499.799999999996;Hermes Parcianello (MDB)
ANTONIO BULHÕES;PRB;55;2019;36454.02;0.0;36454.02;ANTONIO BULHÕES (PRB)
Ely Santos;REPUBLICANOS;56;2021;36407.79;0.0;36407.79;Ely Santos (REPUBLICANOS)
Paulo Teixeira;PT;54;2015;36406.43;14.75;36391.68;Paulo Teixeira (PT)
REINHOLD STEPHANES;PSD;54;2013;36571.56;125.63;36386.66;REINHOLD STEPHANES (PSD)
GLADSON CAMELI;PP**;54;2015;36359.518;0.0;36359.52;GLADSON CAMELI (PP**)
Beto Faro;PT;54;2015;37065.1358;718.8;36346.34;Beto Faro (PT)
NARCIO RODRIGUES;PSDB;54;2014;36348.18;6.73;36341.45;NARCIO RODRIGUES (PSDB)
JULIÃO AMIN;PDT;55;2019;36308.25;0.0;36308.25;JULIÃO AMIN (PDT)
ERIVELTON SANTANA;PATRI;55;2019;36240.24;6.28;36233.96;ERIVELTON SANTANA (PATRI)
JAIME MARTINS;PROS;55;2019;38645.68;296.0;36172.15;JAIME MARTINS (PROS)
LUIZ FERNANDO FARIA;PP**;53;2011;36254.97;85.39999999999999;36169.57;LUIZ FERNANDO FARIA (PP**)
FÁTIMA PELAES;PMDB;53;2011;36245.86;99.64;36146.22;FÁTIMA PELAES (PMDB)
NELSON MEURER;PP**;53;2011;36358.41;216.72;36141.69;NELSON MEURER (PP**)
ALDO REBELO;PCdoB;53;2011;36229.75;92.28;36137.47;ALDO REBELO (PCdoB)
FRANCISCO FLORIANO;PR;54;2015;46205.590000000004;6.0;36087.83;FRANCISCO FLORIANO (PR)
Juscelino Filho;DEM;55;2019;36392.11;324.48;36067.63;Juscelino Filho (DEM)
CAMILO COLA;PMDB;54;2014;36061.72;0.0;36061.72;CAMILO COLA (PMDB)
RAIMUNDO GOMES DE MATOS;PSDB;53;2011;36078.41;18.450000000000003;36059.96;RAIMUNDO GOMES DE MATOS (PSDB)
VICENTE CANDIDO;PT;55;2019;36049.42;0.0;36049.42;VICENTE CANDIDO (PT)
DAVI ALCOLUMBRE;DEM;54;2015;35997.75;0.0;35997.75;DAVI ALCOLUMBRE (DEM)
Ronaldo Carletto;PP;55;2019;35949.65;0.0;35949.65;Ronaldo Carletto (PP)
André Figueiredo;PDT;54;2015;35925.38;0.0;35925.38;André Figueiredo (PDT)
DELEGADO FRANCISCHINI;PSL;55;2019;35903.78;0.0;35903.78;DELEGADO FRANCISCHINI (PSL)
José Guimarães;PT;53;2011;36057.159999999996;163.51;35893.65;José Guimarães (PT)
Samuel Moreira;PSDB;55;2019;35876.55;44.55;35832.0;Samuel Moreira (PSDB)
FRANCISCO FLORIANO;DEM;55;2019;35806.05;0.0;35806.05;FRANCISCO FLORIANO (DEM)
CELSO PANSERA;PT;55;2019;35911.97;102.27;35804.03;CELSO PANSERA (PT)
NICE LOBÃO;DEM;53;2010;35787.61;3.96;35783.65;NICE LOBÃO (DEM)
CELSO JACOB;MDB;55;2019;38036.68;0.0;35780.96;CELSO JACOB (MDB)
URZENI ROCHA;PSDB;53;2011;35851.26;73.97;35777.29;URZENI ROCHA (PSDB)
NELSON MEURER;PP;55;2019;37063.7;1101.68;35773.31;NELSON MEURER (PP)
WALNEY ROCHA;PATRI;55;2019;37704.82;6.12;35771.93;WALNEY ROCHA (PATRI)
